date,my_id,number_of_game_today,day_of_week,away_team,away_team_league,away_team_game_number,home_team,home_team_league,home_team_game_number,day_night,park_id
20230330,Boston Red SoxBaltimore Orioles20230330,0,Thu,Baltimore Orioles,AL,1,Boston Red Sox,AL,1,D,BOS07
20230330,Chicago CubsMilwaukee Brewers20230330,0,Thu,Milwaukee Brewers,NL,1,Chicago Cubs,NL,1,D,CHI11
20230330,Cincinnati RedsPittsburgh Pirates20230330,0,Thu,Pittsburgh Pirates,NL,1,Cincinnati Reds,NL,1,D,DYE01
20230330,Houston AstrosChicago White Sox20230330,0,Thu,Chicago White Sox,AL,1,Houston Astros,AL,1,N,HOU03
20230330,Kansas City RoyalsMinnesota Twins20230330,0,Thu,Minnesota Twins,AL,1,Kansas City Royals,AL,1,D,KAN06
20230330,Los Angeles DodgersArizona Diamondbacks20230330,0,Thu,Arizona Diamondbacks,NL,1,Los Angeles Dodgers,NL,1,N,LOS03
20230330,Miami MarlinsNew York Mets20230330,0,Thu,New York Mets,NL,1,Miami Marlins,NL,1,D,MIA02
20230330,New York YankeesSan Francisco Giants20230330,0,Thu,San Francisco Giants,NL,1,New York Yankees,AL,1,D,NYC21
20230330,Oakland AthleticsLos Angeles Angels20230330,0,Thu,Los Angeles Angels,AL,1,Oakland Athletics,AL,1,N,OAK01
20230330,San Diego PadresColorado Rockies20230330,0,Thu,Colorado Rockies,NL,1,San Diego Padres,NL,1,D,SAN02
20230330,Seattle MarinersCleveland Guardians20230330,0,Thu,Cleveland Guardians,AL,1,Seattle Mariners,AL,1,N,SEA03
20230330,St. Louis CardinalsToronto Blue Jays20230330,0,Thu,Toronto Blue Jays,AL,1,St. Louis Cardinals,NL,1,D,STL10
20230330,Tampa Bay RaysDetroit Tigers20230330,0,Thu,Detroit Tigers,AL,1,Tampa Bay Rays,AL,1,D,STP01
20230330,Texas RangersPhiladelphia Phillies20230330,0,Thu,Philadelphia Phillies,NL,1,Texas Rangers,AL,1,D,ARL03
20230330,Washington NationalsAtlanta Braves20230330,0,Thu,Atlanta Braves,NL,1,Washington Nationals,NL,1,D,WAS11
20230331,Houston AstrosChicago White Sox20230331,0,Fri,Chicago White Sox,AL,2,Houston Astros,AL,2,N,HOU03
20230331,Los Angeles DodgersArizona Diamondbacks20230331,0,Fri,Arizona Diamondbacks,NL,2,Los Angeles Dodgers,NL,2,N,LOS03
20230331,Miami MarlinsNew York Mets20230331,0,Fri,New York Mets,NL,2,Miami Marlins,NL,2,N,MIA02
20230331,San Diego PadresColorado Rockies20230331,0,Fri,Colorado Rockies,NL,2,San Diego Padres,NL,2,N,SAN02
20230331,Seattle MarinersCleveland Guardians20230331,0,Fri,Cleveland Guardians,AL,2,Seattle Mariners,AL,2,N,SEA03
20230401,Boston Red SoxBaltimore Orioles20230401,0,Sat,Baltimore Orioles,AL,2,Boston Red Sox,AL,2,D,BOS07
20230401,Chicago CubsMilwaukee Brewers20230401,0,Sat,Milwaukee Brewers,NL,2,Chicago Cubs,NL,2,D,CHI11
20230401,Cincinnati RedsPittsburgh Pirates20230401,0,Sat,Pittsburgh Pirates,NL,2,Cincinnati Reds,NL,2,D,DYE01
20230401,Houston AstrosChicago White Sox20230401,0,Sat,Chicago White Sox,AL,3,Houston Astros,AL,3,D,HOU03
20230401,Kansas City RoyalsMinnesota Twins20230401,0,Sat,Minnesota Twins,AL,2,Kansas City Royals,AL,2,D,KAN06
20230401,Los Angeles DodgersArizona Diamondbacks20230401,0,Sat,Arizona Diamondbacks,NL,3,Los Angeles Dodgers,NL,3,N,LOS03
20230401,Miami MarlinsNew York Mets20230401,0,Sat,New York Mets,NL,3,Miami Marlins,NL,3,D,MIA02
20230401,New York YankeesSan Francisco Giants20230401,0,Sat,San Francisco Giants,NL,2,New York Yankees,AL,2,D,NYC21
20230401,Oakland AthleticsLos Angeles Angels20230401,0,Sat,Los Angeles Angels,AL,2,Oakland Athletics,AL,2,D,OAK01
20230401,San Diego PadresColorado Rockies20230401,0,Sat,Colorado Rockies,NL,3,San Diego Padres,NL,3,D,SAN02
20230401,Seattle MarinersCleveland Guardians20230401,0,Sat,Cleveland Guardians,AL,3,Seattle Mariners,AL,3,N,SEA03
20230401,St. Louis CardinalsToronto Blue Jays20230401,0,Sat,Toronto Blue Jays,AL,2,St. Louis Cardinals,NL,2,D,STL10
20230401,Tampa Bay RaysDetroit Tigers20230401,0,Sat,Detroit Tigers,AL,2,Tampa Bay Rays,AL,2,D,STP01
20230401,Texas RangersPhiladelphia Phillies20230401,0,Sat,Philadelphia Phillies,NL,2,Texas Rangers,AL,2,D,ARL03
20230401,Washington NationalsAtlanta Braves20230401,0,Sat,Atlanta Braves,NL,2,Washington Nationals,NL,2,D,WAS11
20230402,Boston Red SoxBaltimore Orioles20230402,0,Sun,Baltimore Orioles,AL,3,Boston Red Sox,AL,3,D,BOS07
20230402,Chicago CubsMilwaukee Brewers20230402,0,Sun,Milwaukee Brewers,NL,3,Chicago Cubs,NL,3,D,CHI11
20230402,Cincinnati RedsPittsburgh Pirates20230402,0,Sun,Pittsburgh Pirates,NL,3,Cincinnati Reds,NL,3,D,DYE01
20230402,Houston AstrosChicago White Sox20230402,0,Sun,Chicago White Sox,AL,4,Houston Astros,AL,4,D,HOU03
20230402,Kansas City RoyalsMinnesota Twins20230402,0,Sun,Minnesota Twins,AL,3,Kansas City Royals,AL,3,D,KAN06
20230402,Los Angeles DodgersArizona Diamondbacks20230402,0,Sun,Arizona Diamondbacks,NL,4,Los Angeles Dodgers,NL,4,D,LOS03
20230402,Miami MarlinsNew York Mets20230402,0,Sun,New York Mets,NL,4,Miami Marlins,NL,4,D,MIA02
20230402,New York YankeesSan Francisco Giants20230402,0,Sun,San Francisco Giants,NL,3,New York Yankees,AL,3,D,NYC21
20230402,Oakland AthleticsLos Angeles Angels20230402,0,Sun,Los Angeles Angels,AL,3,Oakland Athletics,AL,3,D,OAK01
20230402,San Diego PadresColorado Rockies20230402,0,Sun,Colorado Rockies,NL,4,San Diego Padres,NL,4,D,SAN02
20230402,Seattle MarinersCleveland Guardians20230402,0,Sun,Cleveland Guardians,AL,4,Seattle Mariners,AL,4,D,SEA03
20230402,St. Louis CardinalsToronto Blue Jays20230402,0,Sun,Toronto Blue Jays,AL,3,St. Louis Cardinals,NL,3,D,STL10
20230402,Tampa Bay RaysDetroit Tigers20230402,0,Sun,Detroit Tigers,AL,3,Tampa Bay Rays,AL,3,D,STP01
20230402,Texas RangersPhiladelphia Phillies20230402,0,Sun,Philadelphia Phillies,NL,3,Texas Rangers,AL,3,N,ARL03
20230402,Washington NationalsAtlanta Braves20230402,0,Sun,Atlanta Braves,NL,3,Washington Nationals,NL,3,D,WAS11
20230403,Boston Red SoxPittsburgh Pirates20230403,0,Mon,Pittsburgh Pirates,NL,4,Boston Red Sox,AL,4,N,BOS07
20230403,Chicago White SoxSan Francisco Giants20230403,0,Mon,San Francisco Giants,NL,4,Chicago White Sox,AL,5,D,CHI12
20230403,Cincinnati RedsChicago Cubs20230403,0,Mon,Chicago Cubs,NL,4,Cincinnati Reds,NL,4,N,DYE01
20230403,Houston AstrosDetroit Tigers20230403,0,Mon,Detroit Tigers,AL,4,Houston Astros,AL,5,N,HOU03
20230403,Kansas City RoyalsToronto Blue Jays20230403,0,Mon,Toronto Blue Jays,AL,4,Kansas City Royals,AL,4,N,KAN06
20230403,Los Angeles DodgersColorado Rockies20230403,0,Mon,Colorado Rockies,NL,5,Los Angeles Dodgers,NL,5,N,LOS03
20230403,Miami MarlinsMinnesota Twins20230403,0,Mon,Minnesota Twins,AL,4,Miami Marlins,NL,5,N,MIA02
20230403,Milwaukee BrewersNew York Mets20230403,0,Mon,New York Mets,NL,5,Milwaukee Brewers,NL,4,D,MIL06
20230403,New York YankeesPhiladelphia Phillies20230403,0,Mon,Philadelphia Phillies,NL,4,New York Yankees,AL,4,N,NYC21
20230403,Oakland AthleticsCleveland Guardians20230403,0,Mon,Cleveland Guardians,AL,5,Oakland Athletics,AL,4,N,OAK01
20230403,San Diego PadresArizona Diamondbacks20230403,0,Mon,Arizona Diamondbacks,NL,5,San Diego Padres,NL,5,N,SAN02
20230403,Seattle MarinersLos Angeles Angels20230403,0,Mon,Los Angeles Angels,AL,4,Seattle Mariners,AL,5,N,SEA03
20230403,St. Louis CardinalsAtlanta Braves20230403,0,Mon,Atlanta Braves,NL,4,St. Louis Cardinals,NL,4,N,STL10
20230403,Texas RangersBaltimore Orioles20230403,0,Mon,Baltimore Orioles,AL,4,Texas Rangers,AL,4,N,ARL03
20230403,Washington NationalsTampa Bay Rays20230403,0,Mon,Tampa Bay Rays,AL,4,Washington Nationals,NL,4,N,WAS11
20230404,Boston Red SoxPittsburgh Pirates20230404,0,Tue,Pittsburgh Pirates,NL,5,Boston Red Sox,AL,5,N,BOS07
20230404,Cincinnati RedsChicago Cubs20230404,0,Tue,Chicago Cubs,NL,5,Cincinnati Reds,NL,5,N,DYE01
20230404,Houston AstrosDetroit Tigers20230404,0,Tue,Detroit Tigers,AL,5,Houston Astros,AL,6,N,HOU03
20230404,Kansas City RoyalsToronto Blue Jays20230404,0,Tue,Toronto Blue Jays,AL,5,Kansas City Royals,AL,5,N,KAN06
