date,Start (ET),away_team,PTS,home_team,PTS.1,Arena,winning_team,home_away_neutral,losing_team,team_1,team_2,home_team_conference,home_team_division,away_team_conference,away_team_division,team_1_division,team_2_division,team_1_conference,team_2_conference,day_of_week,time,compare_time,day_night,commence_date,my_game_id
7/1/21,8:30p,Atlanta Hawks,112,Milwaukee Bucks,123,Fiserv Forum,Milwaukee Bucks,,Atlanta Hawks,Atlanta Hawks,Milwaukee Bucks,Eastern,Central,Eastern,Southeast,Southeast,Central,Eastern,Eastern,Thu,8:30:00 PM,20:30:00,N,7/1/21,Atlanta HawksMilwaukee Bucks2021-07-01
7/3/21,8:30p,Milwaukee Bucks,118,Atlanta Hawks,107,State Farm Arena,Milwaukee Bucks,@,Atlanta Hawks,Atlanta Hawks,Milwaukee Bucks,Eastern,Southeast,Eastern,Central,Southeast,Central,Eastern,Eastern,Sat,8:30:00 PM,20:30:00,N,7/3/21,Atlanta HawksMilwaukee Bucks2021-07-03
7/6/21,9:00p,Milwaukee Bucks,105,Phoenix Suns,118,Phoenix Suns Arena,Phoenix Suns,,Milwaukee Bucks,Milwaukee Bucks,Phoenix Suns,Western,Pacific,Eastern,Central,Central,Pacific,Eastern,Western,Tue,9:00:00 PM,21:00:00,N,7/6/21,Milwaukee BucksPhoenix Suns2021-07-06
7/8/21,9:00p,Milwaukee Bucks,108,Phoenix Suns,118,Phoenix Suns Arena,Phoenix Suns,,Milwaukee Bucks,Milwaukee Bucks,Phoenix Suns,Western,Pacific,Eastern,Central,Central,Pacific,Eastern,Western,Thu,9:00:00 PM,21:00:00,N,7/8/21,Milwaukee BucksPhoenix Suns2021-07-08
7/11/21,8:00p,Phoenix Suns,100,Milwaukee Bucks,120,Fiserv Forum,Milwaukee Bucks,,Phoenix Suns,Milwaukee Bucks,Phoenix Suns,Eastern,Central,Western,Pacific,Central,Pacific,Eastern,Western,Sun,8:00:00 PM,20:00:00,N,7/11/21,Milwaukee BucksPhoenix Suns2021-07-11
7/14/21,9:00p,Phoenix Suns,103,Milwaukee Bucks,109,Fiserv Forum,Milwaukee Bucks,,Phoenix Suns,Milwaukee Bucks,Phoenix Suns,Eastern,Central,Western,Pacific,Central,Pacific,Eastern,Western,Wed,9:00:00 PM,21:00:00,N,7/14/21,Milwaukee BucksPhoenix Suns2021-07-14
7/17/21,9:00p,Milwaukee Bucks,123,Phoenix Suns,119,Phoenix Suns Arena,Milwaukee Bucks,@,Phoenix Suns,Milwaukee Bucks,Phoenix Suns,Western,Pacific,Western,Central,Central,Pacific,Eastern,Western,Sat,9:00:00 PM,21:00:00,N,7/17/21,Milwaukee BucksPhoenix Suns2021-07-17
7/20/21,9:00p,Phoenix Suns,98,Milwaukee Bucks,105,Fiserv Forum,Milwaukee Bucks,,Phoenix Suns,Milwaukee Bucks,Phoenix Suns,Eastern,Central,Western,Pacific,Central,Pacific,Eastern,Western,Tue,9:00:00 PM,21:00:00,N,7/20/21,Milwaukee BucksPhoenix Suns2021-07-20
12/1/22,7:00p,Dallas Mavericks,125,Detroit Pistons,131,Little Caesars Arena,Detroit Pistons,,Dallas Mavericks,Dallas Mavericks,Detroit Pistons,Eastern,Central,Western,Southwest,Southwest,Central,Western,Eastern,Thu,7:00:00 PM,19:00:00,N,12/1/22,Dallas MavericksDetroit Pistons2022-12-01
12/2/22,7:00p,Washington Wizards,116,Charlotte Hornets,117,Spectrum Center,Charlotte Hornets,,Washington Wizards,Charlotte Hornets,Washington Wizards,Eastern,Southeast,Eastern,Southeast,Southeast,Southeast,Eastern,Eastern,Fri,7:00:00 PM,19:00:00,N,12/2/22,Charlotte HornetsWashington Wizards2022-12-02
