date,away_team,PTS,home_team,PTS.1,winning_team,home_away_neutral,losing_team,team_1,team_2,home_team_conference,home_team_division,away_team_conference,away_team_division,team_1_division,team_2_division,team_1_conference,team_2_conference,day_of_week,time,compare_time,day_night,commence_date,my_game_id
1/13/2021,St. Louis Blues,4,Colorado Avalanche,1,St. Louis Blues,@,Colorado Avalanche,Colorado Avalanche,St. Louis Blues,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/13/2021,Vancouver Canucks,5,Edmonton Oilers,3,Vancouver Canucks,@,Edmonton Oilers,Edmonton Oilers,Vancouver Canucks,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/13/2021,Pittsburgh Penguins,3,Philadelphia Flyers,6,Philadelphia Flyers,,Pittsburgh Penguins,Philadelphia Flyers,Pittsburgh Penguins,Eastern,Metropolitan,Eastern,Metropolitan,Metropolitan,Metropolitan,Eastern,Eastern,,,,,,
1/13/2021,Chicago Blackhawks,1,Tampa Bay Lightning,5,Tampa Bay Lightning,,Chicago Blackhawks,Chicago Blackhawks,Tampa Bay Lightning,Eastern,Atlantic,Western,Central,Central,Atlantic,Western,Eastern,,,,,,
1/13/2021,Montreal Canadiens,4,Toronto Maple Leafs,5,Toronto Maple Leafs,,Montreal Canadiens,Montreal Canadiens,Toronto Maple Leafs,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,,,,,,
1/14/2021,San Jose Sharks,4,Arizona Coyotes,3,San Jose Sharks,@,Arizona Coyotes,Arizona Coyotes,San Jose Sharks,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/14/2021,Washington Capitals,6,Buffalo Sabres,4,Washington Capitals,@,Buffalo Sabres,Buffalo Sabres,Washington Capitals,Eastern,Atlantic,Eastern,Metropolitan,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
1/14/2021,Carolina Hurricanes,3,Detroit Red Wings,0,Carolina Hurricanes,@,Detroit Red Wings,Carolina Hurricanes,Detroit Red Wings,Eastern,Atlantic,Eastern,Metropolitan,Metropolitan,Atlantic,Eastern,Eastern,,,,,,
1/14/2021,Vancouver Canucks,2,Edmonton Oilers,5,Edmonton Oilers,,Vancouver Canucks,Edmonton Oilers,Vancouver Canucks,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/14/2021,Minnesota Wild,4,Los Angeles Kings,3,Minnesota Wild,@,Los Angeles Kings,Los Angeles Kings,Minnesota Wild,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/14/2021,Boston Bruins,3,New Jersey Devils,2,Boston Bruins,@,New Jersey Devils,Boston Bruins,New Jersey Devils,Eastern,Metropolitan,Eastern,Atlantic,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
1/14/2021,Columbus Blue Jackets,1,Nashville Predators,3,Nashville Predators,,Columbus Blue Jackets,Columbus Blue Jackets,Nashville Predators,Western,Central,Eastern,Metropolitan,Metropolitan,Central,Eastern,Western,,,,,,
1/14/2021,New York Islanders,4,New York Rangers,0,New York Islanders,@,New York Rangers,New York Islanders,New York Rangers,Eastern,Metropolitan,Eastern,Metropolitan,Metropolitan,Metropolitan,Eastern,Eastern,,,,,,
1/14/2021,Anaheim Ducks,2,Vegas Golden Knights,5,Vegas Golden Knights,,Anaheim Ducks,Anaheim Ducks,Vegas Golden Knights,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
