,barstool_1_time,betclic_1_time,betfair_1_time,betfred_1_time,betmgm_1_time,betonlineag_1_time,betrivers_1_time,betsson_1_time,betus_1_time,betvictor_1_time,betway_1_time,bovada_1_time,casumo_1_time,circasports_1_time,coral_1_time,draftkings_1_time,fanduel_1_time,foxbet_1_time,gtbets_1_time,intertops_1_time,ladbrokes_1_time,livescorebet_1_time,lowvig_1_time,marathonbet_1_time,matchbook_1_time,mrgreen_1_time,mybookieag_1_time,nordicbet_1_time,onexbet_1_time,paddypower_1_time,pinnacle_1_time,pointsbetus_1_time,sport888_1_time,sugarhouse_1_time,superbook_1_time,twinspires_1_time,unibet_1_time,unibet_eu_1_time,unibet_uk_1_time,unibet_us_1_time,virginbet_1_time,williamhill_1_time,williamhill_us_1_time,wynnbet_1_time
0,00:00:00,00:00:00,00:00:00,00:00:00,12:41:03,12:43:43,12:42:21,00:00:00,12:42:45,12:43:05,12:43:10,12:43:09,12:43:43,00:00:00,12:42:19,12:40:13,12:44:09,00:00:00,00:00:00,00:00:00,00:00:00,12:43:44,12:42:30,12:42:12,12:43:43,00:00:00,12:43:43,12:43:43,00:00:00,12:43:44,12:43:44,12:42:13,12:42:56,00:00:00,12:43:43,00:00:00,00:00:00,12:43:43,12:42:45,12:42:14,12:42:25,12:40:11,12:41:30,12:42:25
1,00:00:00,00:00:00,00:00:00,00:00:00,12:41:03,12:43:43,12:42:21,00:00:00,12:42:45,12:43:05,12:43:10,12:43:09,12:43:43,00:00:00,12:42:19,12:40:13,12:44:09,00:00:00,00:00:00,00:00:00,00:00:00,12:43:44,12:42:30,12:42:12,12:43:43,00:00:00,12:43:43,12:43:43,00:00:00,12:43:44,12:43:44,12:42:13,12:42:56,00:00:00,12:43:43,00:00:00,00:00:00,12:43:43,12:42:45,12:42:14,12:42:25,12:40:11,12:41:30,00:00:00
2,00:00:00,00:00:00,00:00:00,00:00:00,12:41:03,12:43:43,12:42:21,00:00:00,12:42:45,12:43:05,12:43:10,12:43:09,12:43:43,00:00:00,12:42:19,12:40:13,12:44:09,00:00:00,00:00:00,00:00:00,00:00:00,12:43:44,12:42:30,12:42:12,12:43:43,00:00:00,12:43:43,12:43:43,00:00:00,12:43:44,12:43:44,12:42:13,12:42:56,00:00:00,12:43:43,00:00:00,00:00:00,12:43:43,12:42:45,12:42:14,12:42:25,12:40:11,12:41:30,12:42:25
3,00:00:00,00:00:00,00:00:00,00:00:00,12:41:03,12:43:43,12:42:21,00:00:00,12:42:45,12:43:05,12:43:10,12:43:09,12:43:43,00:00:00,12:42:19,12:40:13,12:44:09,00:00:00,00:00:00,00:00:00,00:00:00,12:43:44,12:42:30,12:42:12,12:43:43,00:00:00,12:43:43,12:43:43,00:00:00,12:43:44,12:43:44,12:42:13,12:42:56,00:00:00,12:43:43,00:00:00,00:00:00,12:43:43,12:42:45,12:42:14,12:42:25,12:40:11,12:41:30,12:42:25
4,00:00:00,00:00:00,00:00:00,00:00:00,12:41:03,12:43:43,12:42:21,00:00:00,12:42:45,12:43:05,12:43:10,12:43:09,12:43:43,00:00:00,12:42:19,12:40:13,12:44:09,00:00:00,00:00:00,00:00:00,00:00:00,12:43:44,12:42:30,12:42:12,12:43:43,00:00:00,12:43:43,12:43:43,00:00:00,12:43:44,12:43:44,12:42:13,12:42:56,00:00:00,12:43:43,00:00:00,00:00:00,12:43:43,12:42:45,12:42:14,12:42:25,12:40:11,12:41:30,12:42:25
5,00:00:00,00:00:00,00:00:00,00:00:00,12:41:03,12:43:43,12:42:21,00:00:00,12:42:45,12:43:05,12:43:10,12:43:09,12:43:43,00:00:00,12:42:19,12:40:13,12:44:09,00:00:00,00:00:00,00:00:00,00:00:00,12:43:44,12:42:30,12:42:12,12:43:43,00:00:00,12:43:43,12:43:43,00:00:00,12:43:44,12:43:44,12:42:13,12:42:56,00:00:00,12:43:43,00:00:00,00:00:00,12:43:43,12:42:45,12:42:14,12:42:25,12:40:11,12:41:30,12:42:25
6,00:00:00,00:00:00,00:00:00,00:00:00,12:41:03,12:43:43,12:42:21,00:00:00,12:42:45,12:43:05,12:43:10,12:43:09,12:43:43,00:00:00,12:42:19,12:40:13,12:44:09,00:00:00,00:00:00,00:00:00,00:00:00,12:43:44,12:42:30,12:42:12,12:43:43,00:00:00,12:43:43,12:43:43,00:00:00,12:43:44,12:43:44,12:42:13,12:42:56,00:00:00,12:43:43,00:00:00,00:00:00,12:43:43,12:42:45,12:42:14,12:42:25,12:40:11,12:41:30,12:42:25
7,00:00:00,00:00:00,00:00:00,00:00:00,12:41:03,12:43:43,12:42:21,00:00:00,12:42:45,12:43:05,12:43:10,12:43:09,12:43:43,00:00:00,12:42:19,12:40:13,12:44:09,00:00:00,00:00:00,00:00:00,00:00:00,12:43:44,12:42:30,12:42:12,12:43:43,00:00:00,12:43:43,12:43:43,00:00:00,12:43:44,12:43:44,12:42:13,12:42:56,00:00:00,12:43:43,00:00:00,00:00:00,12:43:43,12:42:45,12:42:14,12:42:25,12:40:11,12:41:30,12:42:25
8,00:00:00,00:00:00,00:00:00,00:00:00,12:41:03,12:43:43,12:42:21,00:00:00,12:42:45,12:43:05,12:43:10,12:43:09,12:43:43,00:00:00,12:42:19,12:40:13,12:44:09,00:00:00,00:00:00,00:00:00,00:00:00,12:43:44,12:42:30,12:42:12,12:43:43,00:00:00,12:43:43,12:43:43,00:00:00,12:43:44,12:43:44,12:42:13,12:42:56,00:00:00,12:43:43,00:00:00,00:00:00,12:43:43,12:42:45,12:42:14,12:42:25,12:40:11,12:41:30,12:42:25
9,00:00:00,00:00:00,00:00:00,00:00:00,12:41:03,12:43:43,12:42:21,00:00:00,12:42:45,12:43:05,12:43:10,12:43:09,12:43:43,00:00:00,12:42:19,12:40:13,12:44:09,00:00:00,00:00:00,00:00:00,00:00:00,12:43:44,12:42:30,12:42:12,12:43:43,00:00:00,12:43:43,12:43:43,00:00:00,12:43:44,12:43:44,12:42:13,12:42:56,00:00:00,12:43:43,00:00:00,00:00:00,12:43:43,12:42:45,12:42:14,12:42:25,12:40:11,12:41:30,12:42:25
10,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,12:42:21,00:00:00,00:00:00,12:43:05,12:43:10,00:00:00,12:43:43,00:00:00,00:00:00,12:40:13,12:44:09,00:00:00,00:00:00,00:00:00,00:00:00,12:43:44,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,12:43:44,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,12:43:43,12:42:45,12:42:14,12:42:25,12:40:11,00:00:00,00:00:00
11,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,12:42:21,00:00:00,00:00:00,12:43:05,12:43:10,00:00:00,12:43:43,00:00:00,00:00:00,12:40:13,12:44:09,00:00:00,00:00:00,00:00:00,00:00:00,12:43:44,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,12:43:44,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,12:43:43,12:42:45,12:42:14,12:42:25,12:40:11,00:00:00,00:00:00
12,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,12:42:21,00:00:00,00:00:00,12:43:05,12:43:10,00:00:00,12:43:43,00:00:00,00:00:00,12:40:13,12:44:09,00:00:00,00:00:00,00:00:00,00:00:00,12:43:44,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,12:43:44,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,12:43:43,12:42:45,12:42:14,12:42:25,12:40:11,00:00:00,00:00:00
13,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,12:42:21,00:00:00,00:00:00,12:43:05,12:43:10,00:00:00,12:43:43,00:00:00,00:00:00,12:40:13,12:44:09,00:00:00,00:00:00,00:00:00,00:00:00,12:43:44,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,12:43:44,00:00:00,00:00:00,12:42:56,00:00:00,00:00:00,00:00:00,00:00:00,12:43:43,12:42:45,12:42:14,12:42:25,12:40:11,00:00:00,00:00:00
14,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,12:42:21,00:00:00,00:00:00,12:43:05,12:43:10,00:00:00,12:43:43,00:00:00,00:00:00,12:40:13,12:44:09,00:00:00,00:00:00,00:00:00,00:00:00,12:43:44,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,12:43:44,00:00:00,00:00:00,12:42:56,00:00:00,00:00:00,00:00:00,00:00:00,12:43:43,12:42:45,12:42:14,12:42:25,12:40:11,00:00:00,00:00:00
