barstool_1_odds,betclic_1_odds,betfair_1_odds,betfred_1_odds,betmgm_1_odds,betonlineag_1_odds,betrivers_1_odds,betus_1_odds,betway_1_odds,bovada_1_odds,casumo_1_odds,circasports_1_odds,coral_1_odds,draftkings_1_odds,fanduel_1_odds,foxbet_1_odds,gtbets_1_odds,ladbrokes_1_odds,lowvig_1_odds,marathonbet_1_odds,matchbook_1_odds,mrgreen_1_odds,mybookieag_1_odds,nordicbet_1_odds,onexbet_1_odds,paddypower_1_odds,pinnacle_1_odds,pointsbetus_1_odds,sport888_1_odds,sugarhouse_1_odds,superbook_1_odds,twinspires_1_odds,unibet_1_odds,unibet_eu_1_odds,unibet_uk_1_odds,unibet_us_1_odds,williamhill_1_odds,williamhill_us_1_odds,wynnbet_1_odds,team,game_id,number_of_game_today,day_of_week,day_night,park_id,minutes_since_commence,hour_of_start,opponent,this_team_league,opponent_league,this_team_game_of_season,opponent_game_of_season,home_away,average_market_odds,highest_bettable_odds,snapshot_time,ev,date,sportsbooks_used
0.0,2.3,0.0,0.0,2.4,0.0,0.0,0.0,0.0,2.4,2.12,0.0,0.0,2.3,2.12,0.0,0.0,0.0,0.0,0.0,1.61,2.07,2.25,2.27,0.0,2.05,1.62,2.0,0.0,0.0,0.0,2.23,0.0,2.23,2.1,2.12,0.0,0.0,2.35,St. Louis Cardinals,5101db05dce055e0f3766622b76461fc,0,Tue,N,STP01,92.7,15,Tampa Bay Rays,NL,AL,114,115,0,2.141111111,2.4,8/9/23 0:11,12.09,8/8/23,"['Betmgm', 'Bovada']"
2.2,2.25,0.0,0.0,2.2,0.0,0.0,0.0,0.0,2.5,2.18,0.0,0.0,2.35,2.14,0.0,0.0,0.0,0.0,0.0,2.1,2.12,2.2,2.22,0.0,2.15,2.86,1.95,0.0,0.0,0.0,2.18,0.0,2.18,2.15,2.18,0.0,0.0,2.4,Pittsburgh Pirates,743d0524d095b50356c4fcca5667c124,0,Tue,N,PIT08,66.7,16,Atlanta Braves,NL,NL,113,113,1,2.237368421,2.5,8/9/23 0:11,11.74,8/8/23,['Bovada']
3.0,3.05,0.0,0.0,3.1,0.0,0.0,0.0,0.0,3.25,3.55,0.0,0.0,3.0,2.96,0.0,0.0,0.0,0.0,0.0,1.86,3.2,2.95,3.05,0.0,3.0,1.88,3.0,0.0,0.0,0.0,3.55,0.0,3.55,3.25,3.55,0.0,0.0,3.25,Boston Red Sox,d4cfc1317e9e1569fde75bc0fe6291e4,0,Tue,N,BOS07,62.01666667,16,Kansas City Royals,AL,AL,113,115,1,3.052631579,3.55,8/9/23 0:12,16.29,8/8/23,['Twinspires']
3.0,3.05,0.0,0.0,3.1,0.0,0.0,0.0,0.0,3.25,3.55,0.0,0.0,3.0,2.96,0.0,0.0,0.0,0.0,0.0,1.86,3.2,2.95,3.05,0.0,3.0,1.88,3.0,0.0,0.0,0.0,3.55,0.0,3.55,3.25,3.55,0.0,0.0,3.25,Boston Red Sox,d4cfc1317e9e1569fde75bc0fe6291e4,0,Tue,N,BOS07,62.01666667,16,Kansas City Royals,AL,AL,113,115,1,3.052631579,3.55,8/9/23 0:12,16.29,8/8/23,['Twinspires']
3.0,3.05,0.0,0.0,3.1,0.0,0.0,0.0,0.0,3.25,3.55,0.0,0.0,3.0,2.96,0.0,0.0,0.0,0.0,0.0,1.86,3.2,3.15,3.05,0.0,3.0,1.88,3.0,0.0,0.0,0.0,3.55,0.0,3.55,3.25,3.55,0.0,0.0,3.25,Boston Red Sox,d4cfc1317e9e1569fde75bc0fe6291e4,0,Tue,N,BOS07,62.01666667,16,Kansas City Royals,AL,AL,113,115,1,3.063157895,3.55,8/9/23 0:12,15.89,8/8/23,['Twinspires']
3.0,3.05,0.0,0.0,3.1,0.0,0.0,0.0,0.0,3.25,3.55,0.0,0.0,3.0,2.96,0.0,0.0,0.0,0.0,0.0,1.86,3.2,3.15,3.05,0.0,3.0,1.88,3.0,0.0,0.0,0.0,3.55,0.0,3.55,3.25,3.55,0.0,0.0,3.25,Boston Red Sox,d4cfc1317e9e1569fde75bc0fe6291e4,0,Tue,N,BOS07,62.01666667,16,Kansas City Royals,AL,AL,113,115,1,3.063157895,3.55,8/9/23 0:12,15.89,8/8/23,['Twinspires']
2.6,2.65,0.0,0.0,2.5,0.0,0.0,0.0,0.0,2.55,2.55,0.0,0.0,2.6,2.54,0.0,0.0,0.0,0.0,0.0,2.78,2.55,2.55,2.55,0.0,2.5,2.27,2.9,0.0,0.0,0.0,2.55,0.0,2.55,2.55,2.55,0.0,0.0,2.55,Toronto Blue Jays,54a6f7f50dedce4e726945f1d303b510,0,Tue,N,CLE08,62.18333333,16,Cleveland Guardians,AL,AL,115,114,0,2.570526316,2.9,8/9/23 0:12,12.82,8/8/23,['Pointsbetus']
2.15,2.15,0.0,0.0,2.4,0.0,0.0,0.0,0.0,2.4,2.12,0.0,0.0,2.05,2.08,0.0,0.0,0.0,0.0,0.0,2.12,2.07,2.1,2.11,0.0,2.05,1.62,1.91,0.0,0.0,0.0,2.12,0.0,2.12,2.1,2.12,0.0,0.0,2.35,St. Louis Cardinals,5101db05dce055e0f3766622b76461fc,0,Tue,N,STP01,93.45,15,Tampa Bay Rays,NL,AL,114,115,0,2.112631579,2.4,8/9/23 0:12,13.6,8/8/23,"['Betmgm', 'Bovada']"
2.15,2.15,0.0,0.0,2.4,0.0,0.0,0.0,0.0,2.4,2.12,0.0,0.0,2.05,2.08,0.0,0.0,0.0,0.0,0.0,2.12,2.07,2.1,2.11,0.0,2.05,1.62,1.91,0.0,0.0,0.0,2.12,0.0,2.12,2.1,2.12,0.0,0.0,2.35,St. Louis Cardinals,5101db05dce055e0f3766622b76461fc,0,Tue,N,STP01,93.45,15,Tampa Bay Rays,NL,AL,114,115,0,2.112631579,2.4,8/9/23 0:12,13.6,8/8/23,"['Betmgm', 'Bovada']"
2.15,2.15,0.0,0.0,2.4,0.0,0.0,0.0,0.0,2.4,2.12,0.0,0.0,2.05,2.08,0.0,0.0,0.0,0.0,0.0,2.12,2.07,2.1,2.11,0.0,2.05,1.62,1.91,0.0,0.0,0.0,2.12,0.0,2.12,2.1,2.12,0.0,0.0,2.35,St. Louis Cardinals,5101db05dce055e0f3766622b76461fc,0,Tue,N,STP01,93.46666667,15,Tampa Bay Rays,NL,AL,114,115,0,2.112631579,2.4,8/9/23 0:12,13.6,8/8/23,"['Betmgm', 'Bovada']"
