team_1,barstool_1_odds,barstool_1_time,betclic_1_odds,betclic_1_time,betfair_1_odds,betfair_1_time,betfred_1_odds,betfred_1_time,betmgm_1_odds,betmgm_1_time,betonlineag_1_odds,betonlineag_1_time,betrivers_1_odds,betrivers_1_time,betsson_1_odds,betsson_1_time,betus_1_odds,betus_1_time,betvictor_1_odds,betvictor_1_time,betway_1_odds,betway_1_time,bovada_1_odds,bovada_1_time,casumo_1_odds,casumo_1_time,circasports_1_odds,circasports_1_time,coral_1_odds,coral_1_time,draftkings_1_odds,draftkings_1_time,fanduel_1_odds,fanduel_1_time,foxbet_1_odds,foxbet_1_time,gtbets_1_odds,gtbets_1_time,intertops_1_odds,intertops_1_time,ladbrokes_1_odds,ladbrokes_1_time,livescorebet_1_odds,livescorebet_1_time,lowvig_1_odds,lowvig_1_time,marathonbet_1_odds,marathonbet_1_time,matchbook_1_odds,matchbook_1_time,mrgreen_1_odds,mrgreen_1_time,mybookieag_1_odds,mybookieag_1_time,nordicbet_1_odds,nordicbet_1_time,onexbet_1_odds,onexbet_1_time,paddypower_1_odds,paddypower_1_time,pinnacle_1_odds,pinnacle_1_time,pointsbetus_1_odds,pointsbetus_1_time,sport888_1_odds,sport888_1_time,sugarhouse_1_odds,sugarhouse_1_time,superbook_1_odds,superbook_1_time,twinspires_1_odds,twinspires_1_time,unibet_eu_1_odds,unibet_eu_1_time,unibet_uk_1_odds,unibet_uk_1_time,unibet_us_1_odds,unibet_us_1_time,virginbet_1_odds,virginbet_1_time,williamhill_us_1_odds,williamhill_us_1_time,wynnbet_1_odds,wynnbet_1_time,team_1_division,team_1_conference,game_id,commence_time,my_game_id,hour_of_start,week,day_of_week,home_away_neutral,home_team_division,away_team_division,team_1_division,team_2_division,home_team_conference,away_team_conference,day_night,snapshot_time,minutes_since_commence,target,opponent,this_team_division,opponent_team_division,this_team_conference,opponent_team_conference,home_away,average_market_odds_old,highest_bettable_odds,average_market_odds_recent,ev
Minnesota Vikings,1.59,2023-09-10 11:51:17,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,1.57,2023-09-10 11:50:28,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,1.52,2023-09-10 11:50:42,0.0,1970-01-01 00:00:00,1.55,2023-09-10 11:50:48,1.55,2023-09-10 11:50:53,1.53,2023-09-10 11:51:17,1.6,2023-09-10 11:50:42,0.0,1970-01-01,0.0,1970-01-01 00:00:00,1.56,2023-09-10 11:50:27,1.58,2023-09-10 11:51:14,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,1.55,2023-09-10 11:50:42,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,1.6,2023-09-10 11:50:42,1.45,2023-09-10 11:51:17,1.52,2023-09-10 11:50:42,0.0,1970-01-01 00:00:00,1.53,2023-09-10 11:50:36,1.56,2023-09-10 11:51:16,1.53,2023-09-10 11:50:26,0.0,1970-01-01 00:00:00,0.0,1970-01-01,0.0,1970-01-01 00:00:00,1.6,2023-09-10 11:50:42,1.6,2023-09-10 11:50:42,1.6,2023-09-10 11:50:42,1.6,2023-09-10 11:50:36,1.55,2023-09-10 11:51:17,1.45,2023-09-10 11:51:16,1.48,2023-09-10 11:51:17,NFC,North,b3763a6d678b9787e27cec3272252e24,2023-09-10 10:02:34,Minnesota VikingsTampa Bay Buccaneers2023-09-10,10,1.0,Sun,@,NFC,NFC,NFC,NFC,North,South,D,2023-09-10 11:51:19,108.75,0,Tampa Bay Buccaneers,NFC,NFC,North,South,1,1.5508695652173914,1.6,1.5508695652173914,3.2
Cincinnati Bengals,4.2,2023-09-10 11:51:17,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,5.5,2023-09-10 11:50:28,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,4.65,2023-09-10 11:50:42,0.0,1970-01-01 00:00:00,5.5,2023-09-10 11:50:48,5.75,2023-09-10 11:50:53,4.05,2023-09-10 11:51:17,4.25,2023-09-10 11:50:42,0.0,1970-01-01,0.0,1970-01-01 00:00:00,3.5,2023-09-10 11:50:27,4.5,2023-09-10 11:51:14,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,4.2,2023-09-10 11:50:42,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,4.4,2023-09-10 11:50:37,4.0,2023-09-10 11:50:42,4.15,2023-09-10 11:51:17,4.65,2023-09-10 11:50:42,0.0,1970-01-01 00:00:00,4.33,2023-09-10 11:50:36,4.63,2023-09-10 11:51:16,4.1,2023-09-10 11:50:26,0.0,1970-01-01 00:00:00,0.0,1970-01-01,0.0,1970-01-01 00:00:00,4.25,2023-09-10 11:50:42,4.25,2023-09-10 11:50:42,4.0,2023-09-10 11:50:42,4.25,2023-09-10 11:50:36,4.2,2023-09-10 11:51:17,4.0,2023-09-10 11:51:16,4.5,2023-09-10 11:51:17,AFC,North,35294c242bcfdb30c9f58dc6f68da6b2,2023-09-10 10:03:00,Cincinnati BengalsCleveland Browns2023-09-10,10,1.0,Sun,@,AFC,AFC,AFC,AFC,North,North,D,2023-09-10 11:51:19,108.31666666666666,0,Cleveland Browns,AFC,AFC,North,North,0,4.40875,5.5,4.40875,24.8
New England Patriots,2.6,2023-09-10 11:51:17,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,2.5,2023-09-10 11:50:28,2.5,2023-09-10 11:50:59,2.6,2023-09-10 11:50:36,2.5,2023-09-10 11:50:42,2.55,2023-09-10 11:51:11,2.45,2023-09-10 11:50:48,2.5,2023-09-10 11:50:53,2.6,2023-09-10 11:51:17,2.55,2023-09-10 11:50:42,0.0,1970-01-01,2.5,2023-09-10 11:50:52,2.54,2023-09-10 11:50:27,2.52,2023-09-10 11:51:14,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,2.55,2023-09-10 11:50:42,2.5,2023-09-10 11:51:01,2.38,2023-09-10 11:50:41,2.7,2023-09-10 11:50:37,2.55,2023-09-10 11:50:42,2.5,2023-09-10 11:51:17,2.5,2023-09-10 11:50:42,2.46,2023-09-10 11:49:57,2.5,2023-09-10 11:50:36,2.62,2023-09-10 11:51:16,2.6,2023-09-10 11:50:26,2.45,2023-09-10 11:51:16,0.0,1970-01-01,2.5,2023-09-10 11:50:36,2.55,2023-09-10 11:50:42,2.6,2023-09-10 11:50:42,2.55,2023-09-10 11:50:42,2.55,2023-09-10 11:50:36,2.55,2023-09-10 11:51:17,2.5,2023-09-10 11:51:16,2.63,2023-09-10 11:51:17,AFC,East,0a368c64b212ecbad4ec46f6ff6c1af2,2023-09-10 13:25:00,New England PatriotsPhiladelphia Eagles2023-09-10,13,1.0,Sun,@,AFC,NFC,AFC,NFC,East,East,D,2023-09-10 11:51:19,-93.68333333333334,0,Philadelphia Eagles,AFC,NFC,East,East,1,2.5348484848484842,2.63,2.5348484848484847,3.8
Tennessee Titans,1.69,2023-09-10 11:51:17,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,1.69,2023-09-10 11:50:28,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,1.72,2023-09-10 11:50:42,0.0,1970-01-01 00:00:00,1.67,2023-09-10 11:50:48,1.67,2023-09-10 11:50:53,1.69,2023-09-10 11:51:17,1.73,2023-09-10 11:50:42,0.0,1970-01-01,0.0,1970-01-01 00:00:00,1.67,2023-09-10 11:50:27,1.71,2023-09-10 11:51:14,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,1.67,2023-09-10 11:50:42,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,1.7,2023-09-10 11:50:42,1.65,2023-09-10 11:51:17,1.72,2023-09-10 11:50:42,0.0,1970-01-01 00:00:00,1.73,2023-09-10 11:50:36,0.0,1970-01-01 00:00:00,1.69,2023-09-10 11:50:26,0.0,1970-01-01 00:00:00,0.0,1970-01-01,0.0,1970-01-01 00:00:00,1.73,2023-09-10 11:50:42,1.73,2023-09-10 11:50:42,1.72,2023-09-10 11:50:42,1.73,2023-09-10 11:50:36,1.67,2023-09-10 11:51:17,1.67,2023-09-10 11:51:16,1.67,2023-09-10 11:51:17,AFC,South,bbe791f371726d950a509d928f4c65cd,2023-09-10 10:02:00,New Orleans SaintsTennessee Titans2023-09-10,10,1.0,Sun,@,NFC,AFC,NFC,AFC,South,South,D,2023-09-10 11:51:19,109.31666666666666,0,New Orleans Saints,AFC,NFC,South,South,0,1.6963636363636363,1.73,1.6963636363636367,2.0
Green Bay Packers,2.0,2023-09-10 11:51:17,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,2.0,2023-09-10 11:50:28,1.99,2023-09-10 11:50:59,2.02,2023-09-10 11:50:36,2.01,2023-09-10 11:50:42,0.0,1970-01-01 00:00:00,2.0,2023-09-10 11:50:48,2.05,2023-09-10 11:50:53,1.95,2023-09-10 11:51:17,1.94,2023-09-10 11:50:42,0.0,1970-01-01,2.0,2023-09-10 11:50:52,1.95,2023-09-10 11:50:27,2.06,2023-09-10 11:51:14,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,2.0,2023-09-10 11:50:42,1.99,2023-09-10 11:51:01,1.94,2023-09-10 11:50:41,2.06,2023-09-10 11:50:37,1.93,2023-09-10 11:50:42,2.0,2023-09-10 11:51:17,2.01,2023-09-10 11:50:42,2.0,2023-09-10 11:49:57,2.0,2023-09-10 11:50:36,2.02,2023-09-10 11:51:16,1.95,2023-09-10 11:50:26,2.0,2023-09-10 11:51:16,0.0,1970-01-01,2.0,2023-09-10 11:50:36,1.94,2023-09-10 11:50:42,2.02,2023-09-10 11:50:42,1.94,2023-09-10 11:50:42,1.94,2023-09-10 11:50:36,2.0,2023-09-10 11:51:17,2.0,2023-09-10 11:51:16,2.06,2023-09-10 11:51:17,NFC,North,54b900ff32cfc8ad40f4d856fc5a4985,2023-09-10 13:25:00,Chicago BearsGreen Bay Packers2023-09-10,13,1.0,Sun,@,NFC,NFC,NFC,NFC,North,North,D,2023-09-10 11:51:19,-93.68333333333334,0,Chicago Bears,NFC,NFC,North,North,0,1.9928125,2.06,1.9928125,3.4
Miami Dolphins,2.35,2023-09-10 11:51:17,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,2.35,2023-09-10 11:50:28,2.39,2023-09-10 11:50:59,2.42,2023-09-10 11:50:36,2.35,2023-09-10 11:50:42,2.35,2023-09-10 11:51:11,2.3,2023-09-10 11:50:48,2.38,2023-09-10 11:50:53,2.4,2023-09-10 11:51:17,2.38,2023-09-10 11:50:42,0.0,1970-01-01,2.37,2023-09-10 11:50:52,2.3,2023-09-10 11:50:27,2.4,2023-09-10 11:51:14,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,2.38,2023-09-10 11:50:42,2.39,2023-09-10 11:51:01,2.36,2023-09-10 11:50:41,2.46,2023-09-10 11:50:37,2.38,2023-09-10 11:50:42,2.32,2023-09-10 11:51:17,2.35,2023-09-10 11:50:42,2.36,2023-09-10 11:49:57,2.38,2023-09-10 11:50:36,2.43,2023-09-10 11:51:16,2.45,2023-09-10 11:50:26,2.3,2023-09-10 11:51:16,0.0,1970-01-01,2.35,2023-09-10 11:50:36,2.38,2023-09-10 11:50:42,2.42,2023-09-10 11:50:42,2.38,2023-09-10 11:50:42,2.38,2023-09-10 11:50:36,2.38,2023-09-10 11:51:17,2.35,2023-09-10 11:51:16,2.33,2023-09-10 11:51:17,AFC,East,d543cbc3d38bed6c7c727e3cabc1188e,2023-09-10 13:25:00,Los Angeles ChargersMiami Dolphins2023-09-10,13,1.0,Sun,@,AFC,AFC,AFC,AFC,West,East,D,2023-09-10 11:51:19,-93.68333333333334,0,Los Angeles Chargers,AFC,AFC,East,West,0,2.371818181818181,2.45,2.3718181818181816,3.3
Seattle Seahawks,1.47,2023-09-10 11:51:17,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,1.44,2023-09-10 11:50:28,1.46,2023-09-10 11:50:59,1.44,2023-09-10 11:50:36,1.46,2023-09-10 11:50:42,1.47,2023-09-10 11:51:11,1.5,2023-09-10 11:50:48,1.53,2023-09-10 11:50:53,1.48,2023-09-10 11:51:17,1.43,2023-09-10 11:50:42,0.0,1970-01-01,1.44,2023-09-10 11:50:52,1.46,2023-09-10 11:50:27,1.48,2023-09-10 11:51:14,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,1.44,2023-09-10 11:50:42,1.47,2023-09-10 11:51:01,1.47,2023-09-10 11:50:41,1.51,2023-09-10 11:50:37,1.42,2023-09-10 11:50:42,1.47,2023-09-10 11:51:17,1.46,2023-09-10 11:50:42,1.46,2023-09-10 11:49:57,1.45,2023-09-10 11:50:36,1.49,2023-09-10 11:51:16,1.48,2023-09-10 11:50:26,1.5,2023-09-10 11:51:16,0.0,1970-01-01,1.45,2023-09-10 11:50:36,1.43,2023-09-10 11:50:42,1.44,2023-09-10 11:50:42,1.43,2023-09-10 11:50:42,1.43,2023-09-10 11:50:36,1.44,2023-09-10 11:51:17,1.45,2023-09-10 11:51:16,1.47,2023-09-10 11:51:17,NFC,West,d818062d65dfa411c269ee61943655cd,2023-09-10 13:25:00,Los Angeles RamsSeattle Seahawks2023-09-10,13,1.0,Sun,@,NFC,NFC,NFC,NFC,West,West,D,2023-09-10 11:51:19,-93.68333333333334,0,Los Angeles Rams,NFC,NFC,West,West,1,1.4612121212121214,1.49,1.4612121212121212,2.0
Minnesota Vikings,1.59,2023-09-10 11:51:17,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,1.65,2023-09-10 11:51:22,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,1.52,2023-09-10 11:51:27,0.0,1970-01-01 00:00:00,1.55,2023-09-10 11:50:48,1.55,2023-09-10 11:50:53,1.53,2023-09-10 11:51:17,1.61,2023-09-10 11:51:27,0.0,1970-01-01,0.0,1970-01-01 00:00:00,1.56,2023-09-10 11:50:27,1.58,2023-09-10 11:51:14,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,1.6,2023-09-10 11:51:27,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,1.6,2023-09-10 11:51:27,1.45,2023-09-10 11:51:17,1.52,2023-09-10 11:51:27,0.0,1970-01-01 00:00:00,1.57,2023-09-10 11:51:21,1.56,2023-09-10 11:51:16,1.53,2023-09-10 11:51:21,0.0,1970-01-01 00:00:00,0.0,1970-01-01,0.0,1970-01-01 00:00:00,1.61,2023-09-10 11:51:26,1.6,2023-09-10 11:51:29,1.6,2023-09-10 11:51:27,1.56,2023-09-10 11:51:21,1.55,2023-09-10 11:51:17,1.45,2023-09-10 11:51:16,1.48,2023-09-10 11:51:17,NFC,North,b3763a6d678b9787e27cec3272252e24,2023-09-10 10:02:34,Minnesota VikingsTampa Bay Buccaneers2023-09-10,10,1.0,Sun,@,NFC,NFC,NFC,NFC,North,South,D,2023-09-10 11:51:31,108.95,0,Tampa Bay Buccaneers,NFC,NFC,North,South,1,1.557391304347826,1.65,1.557391304347826,5.9
Cincinnati Bengals,4.2,2023-09-10 11:51:17,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,5.25,2023-09-10 11:51:22,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,4.65,2023-09-10 11:51:27,0.0,1970-01-01 00:00:00,5.5,2023-09-10 11:50:48,5.75,2023-09-10 11:50:53,4.05,2023-09-10 11:51:17,4.2,2023-09-10 11:51:27,0.0,1970-01-01,0.0,1970-01-01 00:00:00,3.5,2023-09-10 11:50:27,4.5,2023-09-10 11:51:14,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,4.2,2023-09-10 11:51:27,0.0,1970-01-01 00:00:00,0.0,1970-01-01 00:00:00,4.1,2023-09-10 11:51:21,3.95,2023-09-10 11:51:27,4.15,2023-09-10 11:51:17,4.55,2023-09-10 11:51:27,0.0,1970-01-01 00:00:00,4.33,2023-09-10 11:51:21,4.63,2023-09-10 11:51:16,4.5,2023-09-10 11:51:21,0.0,1970-01-01 00:00:00,0.0,1970-01-01,0.0,1970-01-01 00:00:00,4.2,2023-09-10 11:51:26,4.2,2023-09-10 11:51:29,4.0,2023-09-10 11:51:27,4.2,2023-09-10 11:51:21,4.2,2023-09-10 11:51:17,4.0,2023-09-10 11:51:16,4.5,2023-09-10 11:51:17,AFC,North,35294c242bcfdb30c9f58dc6f68da6b2,2023-09-10 10:03:00,Cincinnati BengalsCleveland Browns2023-09-10,10,1.0,Sun,@,AFC,AFC,AFC,AFC,North,North,D,2023-09-10 11:51:31,108.51666666666667,0,Cleveland Browns,AFC,AFC,North,North,0,4.387916666666667,5.25,4.3879166666666665,19.6
New England Patriots,2.6,2023-09-10 11:51:17,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,2.5,2023-09-10 11:51:22,2.5,2023-09-10 11:50:59,2.6,2023-09-10 11:51:21,2.5,2023-09-10 11:51:27,2.55,2023-09-10 11:51:11,2.45,2023-09-10 11:50:48,2.5,2023-09-10 11:50:53,2.6,2023-09-10 11:51:17,2.55,2023-09-10 11:51:27,0.0,1970-01-01,2.5,2023-09-10 11:50:52,2.54,2023-09-10 11:50:27,2.52,2023-09-10 11:51:14,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,0.0,1970-01-01,2.55,2023-09-10 11:51:27,2.5,2023-09-10 11:51:01,2.38,2023-09-10 11:51:26,2.7,2023-09-10 11:51:21,2.55,2023-09-10 11:51:27,2.5,2023-09-10 11:51:17,2.5,2023-09-10 11:51:27,2.46,2023-09-10 11:51:27,2.5,2023-09-10 11:51:21,2.62,2023-09-10 11:51:16,2.6,2023-09-10 11:51:21,2.45,2023-09-10 11:51:16,0.0,1970-01-01,2.5,2023-09-10 11:51:21,2.55,2023-09-10 11:51:26,2.6,2023-09-10 11:51:29,2.55,2023-09-10 11:51:27,2.55,2023-09-10 11:51:21,2.55,2023-09-10 11:51:17,2.5,2023-09-10 11:51:16,2.63,2023-09-10 11:51:17,AFC,East,0a368c64b212ecbad4ec46f6ff6c1af2,2023-09-10 13:25:00,New England PatriotsPhiladelphia Eagles2023-09-10,13,1.0,Sun,@,AFC,NFC,AFC,NFC,East,East,D,2023-09-10 11:51:31,-93.48333333333333,0,Philadelphia Eagles,AFC,NFC,East,East,1,2.5348484848484842,2.63,2.5348484848484847,3.8
